Org District,AC Name,Org Mandal,Local Body
Alappuzha North,Kuttanad,Kuttanadu,Ramankari Grama Panchayat
Alappuzha North,Kuttanad,Kuttanadu,Muttar Grama Panchayat
Alappuzha North,Kuttanad,Kuttanadu,Neelamperoor gram panchayat
Alappuzha North,Kuttanad,Kuttanadu,Pulinkunnu grama panchayat
Alappuzha North,Kuttanad,Kuttanadu,Kavalam gram panchayat
Alappuzha North,Kuttanad,Thakazhy,Nedumudi village panchayat
Alappuzha North,Kuttanad,Thakazhy,Thalavady Grama Panchayat
Pathanamthitta,Aranmula,Pathanamthitta,Omalloor Gramapanchayath
Alappuzha North,Kuttanad,Thakazhy,Champakulam Grama Panchayath
Alappuzha North,Kuttanad,Kuttanadu,Kainakari gram panchayat
Alappuzha North,Kuttanad,Thakazhy,Edathwa grama panchayat
Alappuzha North,Ambalappuzha,Ambalappuzha,Purakkad Grama Panchayat
Alappuzha North,Ambalappuzha,Mullakkal,Punnapra North grama panchayat
Idukki South,Udumbanchola,Vandanmedu,Karunapuram Gramapanchayath
Pathanamthitta,Thiruvalla,Mallappally,Puramattam Gramapanchayath
Alappuzha North,Ambalappuzha,Ambalappuzha,Ambalapuzha South
Alappuzha North,Cherthala,Muhamma,Muhamma gram panchayat
Alappuzha North,Alappuzha,Mararikkulam,Mararikulam South Grama Panchayat
Alappuzha North,Alappuzha,Mararikkulam,Mannancherry Grama Panchayat
Pathanamthitta,Ranni,Ayiroor,Ezhumattoor Gramapanchayath
Alappuzha North,Cherthala,Muhamma,Thanneermukkam grama panchayat
Alappuzha North,Cherthala,Cherthala,Kadakarappally Grama Panchayat
Palakkad East,Nenmara,Nenmara,Pudunagaram Gramapanchayath
Alappuzha North,Cherthala,Muhamma,Cherthala south Grama Panchayat
Alappuzha North,Cherthala,Muhamma,Kanjikuzhi grama panchayat
Alappuzha North,Cherthala,Cherthala,Vayalar Grama Panchayath
Alappuzha North,Cherthala,Cherthala,Pattanakkad Grama Panchayat
Pathanamthitta,Aranmula,Aranmula,Thottappuzhassery Gramapanchayath
Alappuzha North,Aroor,Aroor,Kodamthuruthu gram panchayat
Alappuzha North,Aroor,Aroor,Kuthiyathodu grama panchayat
